period=4.0ns  wns=-8.01
period=4.200ns  wns=-7.85
period=4.400ns  wns=-7.69
period=4.600ns  wns=-7.53
period=4.800ns  wns=-7.37
period=5.000ns  wns=-7.21
period=5.200ns  wns=-7.05
period=5.400ns  wns=-6.89
period=5.600ns  wns=-6.73
period=5.800ns  wns=-6.57
period=6.000ns  wns=-6.41
period=6.200ns  wns=-6.25
period=6.400ns  wns=-6.09
period=6.600ns  wns=-5.93
period=6.800ns  wns=-5.77
period=7.000ns  wns=-5.61
period=7.200ns  wns=-5.45
period=7.400ns  wns=-5.29
period=7.600ns  wns=-5.13
period=7.800ns  wns=-4.97
period=8.000ns  wns=-4.81
period=8.200ns  wns=-4.65
period=8.400ns  wns=-4.49
period=8.600ns  wns=-4.33
period=8.800ns  wns=-4.17
period=9.000ns  wns=-4.01
period=9.200ns  wns=-3.85
period=9.400ns  wns=-3.69
period=9.600ns  wns=-3.53
period=9.800ns  wns=-3.37
period=10.000ns  wns=-3.21
period=10.200ns  wns=-3.05
period=10.400ns  wns=-2.89
period=10.600ns  wns=-2.73
period=10.800ns  wns=-2.57
period=11.000ns  wns=-2.41
period=11.200ns  wns=-2.25
period=11.400ns  wns=-2.09
period=11.600ns  wns=-1.93
period=11.800ns  wns=-1.77
period=12.000ns  wns=-1.61
period=12.200ns  wns=-1.45
period=12.400ns  wns=-1.29
period=12.600ns  wns=-1.13
period=12.800ns  wns=-0.97
period=13.000ns  wns=-0.81
period=13.200ns  wns=-0.65
period=13.400ns  wns=-0.49
period=13.600ns  wns=-0.33
period=13.800ns  wns=-0.17
period=14.000ns  wns=-0.01
period=14.200ns  wns=0.00
CONVERGED: period=14.200ns -> fmax=70.42MHz (log: out/cmd_queue_regs_sweep_14.200ns.log)
